	Sentence	Level
117	The first of them had long dark hair and the second one had short fair curly hair. 	B
118	In the evening, we used to go to a famous restaurant where you can eat delicious local food. 	B
119	"I decided to see the ""Zorro's Mask"" because it's an amusing and entertaining action film and love-story. "	B
120	That's something that makes me angry! 	B
121	 you should tell them that you don't want to make them sad but you really want to go on holiday with your friends. 	B
122	Maria realised that being kind and trying to make other people happy is always the best way! 	B
123	I like cooking and I want to cook something special. 	B
124	But something terrible happened next; I was so nervous that I stopped breathing! 	B
125	There is nothing interesting on TV, nothing for teenagers. 	B
126	When tourists arrive, there is no area to park. This is a real problem and our town is becoming very dangerous for children; every week there is an accident. 	B
127	Making friends is easy but to get a real, true friend is hard. 	B
128	Suddenly the lights went out and I found myself standing in  complete darkness. 	B
129	After the teacher had told us to start, there was absolute silence. 	B
130	I think we all are very concerned about the present situation. 	B
131	We would like to hear you talk about your novels, your work in general and about your future plans. 	B
132	In the big hall, in former times, lots of parties took place. 	B
133	First of all, I would recommend providing a wider range of films and introducing discussions after each film shown. 	C
134	It is believed that if some improvements are made, the club will live up to the high standards required . 	C
135	As a conclusion, I shall say that the major problem concerns the exam. 	C
136	It is located in the very centre of Pisa, in a magnificent ancient building. 	C
137	She's my best friend. 	A
138	Shahin is my best friend. 	A
139	It is the biggest zoo in the world. 	A
140	They were the happiest days of my life. 	A
141	It's the biggest room in the house. 	A
142	I bought them because they are the cheapest clothes in the shop. 	A
143	My teacher said that it was the best project of all. 	B
144	I learned to surf, this was the best part of the trip. 	A
145	Hi, Ally. You will miss the best party of the year! 	A
146	My relatives gave me presents but the computer game was the best. 	A
147	But Mark's present was the most beautiful! 	A
148	 it's the biggest and oldest museum in Libya. 	A
149	It's the biggest room in the house. 	A
150	 it's the biggest and oldest museum in Libya. 	A
151	It was the cheapest in this shop! 	A
152	The easiest way to get my house is by Underground. 	A
153	 you are the funniest person that I have ever seen! 	A
154	I bought these clothes for my youngest brother .... 	A
155	 Please wear your oldest clothes. 	A
156	I always watch the latest music videos from there. 	A
157	I like it because it's the largest. 	A
158	But the nicest thing at my party was my presents. 	A
159	It has the latest technology. 	A
160	The best place is La Baule, which is Europe's biggest beach. 	A
161	We love football competitions because here in Uruguay football is the most popular sport. 	A
162	It is the most famous place in Edinburgh and it is interesting too. 	A
163	The problem was that it was the most expensive mobile in the shop. 	A
164	Yesterday was the most exciting day of my life! 	B
165	Well, exercise is undoubtedly the most important thing in our lives for our health. 	B
166	It was the best birthday present I have ever had. 	B
167	That is the best game I've ever played. 	B
168	It was one of the best days of my life. 	B
169	I recommend that you should go to Akihabara, which is one of the most famous places in Tokyo. 	B
170	Summer is the best time to visit Poland. 	B
171	I'm sorry but I'm afraid that I'm not the best person to ask about TV, because I'm up to my eyes at work and I don't have any time to spend watching TV. 	B
172	There, people wear their best clothes. 	B
173	Tomorrow I'm expecting a delivery of our latest catalogues. 	B
174	As you know, I've already visited almost fifty forests all over the world but I think this one is by far the most beautiful of all. 	B
175	When I was a child, Christmas morning was by far the most exciting and happiest moment. 	B
176	There have been so many embarrassing moments in my life. It's very difficult to pick the most embarrassing. 	B
177	I'm not quite sure if I agree that the car is the greatest danger to human life today, but it sure is one of the greatest. 	B
178	That period of my life was one of the worst . 	B
179	To be honest, I think that, to be in competition with other markets, we need to be updated and the easiest way to do it is to use computers. 	B
180	For those people who don't work and can't afford a car, a bicycle is perhaps the cheapest way to travel in the city. 	B
181	What is more, in order to increase sales of the new model to the highest possible level, the possibility of entering the Asian markets should be considered. 	C
182	I am fond of the idea of working in Central London. It absolutely is the best possible location , I cannot deny that. 	C
183	It is not the shortest possible route, but the easiest for people with luggage. 	C
184	 we want to present ourselves in the best way possible. 	C
185	this cleansing gel will definitely produce good results in the shortest time possible. 	C
186	Achieving health by using her common sense and having fun while doing it is probably her greatest performance ever and, if elected, she could share that with the world. 	C
187	I should not end my relationship with Alex by phone, without giving him the slightest explanation. 	C
188	They act as consumers, nothing more, and never show the slightest interest in learning and sharing opinions with the locals. 	C
189	I haven't the faintest idea. 	C
190	Take care. See you soon. 	A
191	Get well soon. 	A
192	My girlfriend is here with me. 	A
193	I was born there and I lived there over twenty years. 	A
194	I go there every year with my friends. 	A
195	I like Dorchester's people, they are always very friendly and polite. 	A
196	I always see Safora because she lives near my home. 	A
197	Sometimes I go to the beach. 	A
198	He's a very good man. 	A
199	I'm very happy in my home. 	A
200	I really like theatre and a classical music. 	A
201	I really love my space! 	A
202	I like my garden very much. 	A
203	Yesterday I went shopping. 	A
204	I've just seen your mail. 	A
205	I am working very hard now because I want to earn some money. 	A
206	 I've already seen it. 	A
207	People usually try to eat their breakfast between 7 and 9 am. 	A
208	I have to pay weekly or monthly? 	A
209	I often go to the Shanghai Museum. 	A
210	You never remember anything! 	A
211	I went to Vinpearland. It's so beautiful. 	A
212	It was quite expensive, it cost £100. 	A
213	The weather was too hot. 	A
214	I am looking forward to seeing you so much! 	A
215	We listened to music and we danced a lot too. 	A
216	 both the players played well. 	A
217	You must go straight, then turn left. 	A
218	Some of them can swim very fast. 	A
219	 It's very colourfull, and it goes very quickly. 	A
220	I also bought some t-shirts. 	A
221	 I don't like green, so I decided to use blue, could you help me to paint my room? 	A
222	Yesterday I bought some clothes: trousers and skirts  However, the clothes were cheap. 	A
223	 It's only two hours. 	A
224	It was only €70. It is pink. it looks very nice. 	A
225	It was just £15. 	A
226	First we had a dinner in a very expensive restaurant, then we went to a disco. 	A
227	We can meet at 6 pm at my house, and then we can get to the sports centre by bus. 	A
228	 First, we played housie and blind man's bluff. After that a magician showed us a lot of magic tricks. 	A
229	Or maybe we can walk to there, because it's not far from my house. 	A
230	Perhaps I left it in your living room. 	A
231	It's very nice that you're going to help me to paint my bedroom. Actually I want you to decide what colour that my room should be. 	A
232	Unfortunately, my team lost. 	A
233	 It costs €450 and of course it is black. You know black is my favorite color. 	A
234	I'm sorry you can't find it. 	A
235	Dear Kate, I went to the cinema with a new friend recently. 	B
236	I immediately called her to see if everything was O.K. 	B
237	You can't go far away because I don't think your parents want to pay for it. 	B
238	He went downstairs. 	B
239	After the film we went to a shop nearby for lunch and after that we went to a park and played all sorts of games. 	B
240	When I came to England, one year ago, I didn't know any English word, now I'm very happy because I don't speak very well but I can understand and speak a little. 	B
241	I suggest you to take a little break of about one minute between hours and walk to relax a bit. 	B
242	I go to bed and I read just a little bit. 	B
243	Oh, I really really like her very friendly and lovely smile. 	B
244	I am not keen on football so, I think it is really really borring. 	B
245	They are like my sisters. We go everywhere together. 	B
246	You are a sweet and caring guy and wherever you'll go, you'll fit in easily! 	B
247	Of course you have to eat carefully. 	B
248	Then I took a knife and opened it very carfully and slowly like there was something breakable in it. 	B
249	You don't like city's with a lot of people. Therefore I suggest you go to a small school in the countryside, near your new home. 	B
250	I decided to join these classes because I have to improve my reading, writing and speaking in English. Furthermore I want to write my thesis in an English-speaking country next year. 	B
251	Please let me know if you can collect it otherwise I will ask my other Turkish friend. 	B
252	I usually read in my free time but particularly in the evenings before I go to the bed. 	B
253	As you know I love dolphins and all programmes about Nature and Wild life, especially the Discovery Channel. 	B
254	Firstly, I advise you to visit both schools. 	B
255	Firstly, we need a good expert to run the course. 	B
256	Secondly, good materials are needed. 	B
257	What's more, this topic is very useful, it could offer so many professional suggestions . Finally , in my opinion, this topic is very interesting. 	B
258	My boss' talk will be about the advantages and drawbacks which overseas sells bring  . Actually , he is very interested in this subject because our company is trying to expand and sell abroad. 	B
259	 And it will probably be on TV next month! 	B
260	If I were you I'd certainly choose not to go with your parents. 	B
261	I will definitely give you the bicycle by 5.30 pm or latest by 5.45 pm. 	B
262	I am completely sure. 	B
263	It's obviously much more fun to go on vacation with your friends, but your parents will be sad and worry about you all the time you're gone. 	B
264	I am clearly a fashion victim and it's not a fault. 	B
265	Actually she's my best friend I met her this year when the school started. 	B
266	Luckily my cousin is now recovering of his illness and all my family is really happy. 	B
267	I don't watch a lot of TV, sadly I don't have time. 	B
268	Surely it depends where your family goes, and where you are going to go with your friends! 	B
269	I look forward hearing from you shortly and I thank you in advance. 	B
270	It sounded like a muffled laugh, and she instantly recognised it as her mother's. 	B
271	It isn't the job you will do permanently . 	B
272	You know it's very difficult to decide what to buy if you need both things simultaneously. 	B
273	"The trend that has appeared rather recently and is very common among young people nowadays is named ""casual chique"". "	C
274	She realises that he is a very dangerous man and that she should take his warning seriously. 	B
275	"Today I read the notice ""Volunteers needed urgently "" and I would like to be one. "	B
276	As our parking space has been used illegally by the public, we will change our parking system. 	B
277	It deals with the friendship between two completely different men. 	C
278	It is extremely important that the project is finished before September. 	C
279	The last thing I would like to mention is that you have lost a single passenger's luggage three times, which is totally unacceptable. 	C
280	It was undoubtedly an unforgettable experience. 	C
281	Television programms are undeniably a way of keeping ourselves well-informed and open to a special knowledge of every aspect of our lives. 	C
282	I bought a skirt, a pair of jeans and a white dress, because I absolutely need new clothes for your party! 	A
283	Obviously everybody has the right to be on a strike. 	C
284	We can't truly blame ourselves for this unlucky beginning. 	C
285	Apparently someone made a mistake writing the details I gave over the phone. 	C
286	Naturally , I inclined towards the second option. 	C
287	Luckily for me, I stayed with a kind and helpful host family but they lived four miles from the school. 	C
288	"He came out from school at the age of 16, and joined the ""Universidad xxx"" - the best one in Chile, supposedly - to study Economics "	C
289	The author of the letter apparently has no experience of being a parent in our times. 	C
290	He was quite nice to me, surprisingly and he told him that he would do his best but that the music was not too loud. 	C
291	My home is very nice. 	A
292	My teacher is very good. 	A
293	I hope you get well very soon. 	A
294	I don't like it at college when I have a lesson very early. 	A
295	I really like Japanese music. 	A
296	I like my college very much. 	A
297	I always go to the park with my children. We sometimes go to the shopping centre. 	A
298	I am happy here because people are very nice. 	A
299	I hope you will be there. 	A
300	You must go there. 	A
301	I'm so happy because you can come! 	A
302	 It's really important for me, because I need to do some homework. 	A
303	But it is too expensive. 	A
304	I really liked it because all the candidates were professional and swam very fast. 	A
305	I learned to use my phone very quickly and easily. 	A
306	Yesterday I went shopping and bought some clothes. 	A
307	First we had dinner in my house and after we went to the pub. 	A
308	I just heard about your accident. 	A
309	I often eat it at weekends. 	A
310	We left really early on a Friday morning. 	B
311	So I couldn't wait and I opened it very carefully. 	B
312	You have to choose carefully. 	B
313	My smile slowly disappeared as I finished my reading. 	B
314	"She looked at me seriously and said ""Can you sing a song right now?” "	B
315	But, obviously, you prefer going with your friends because you will have a better time. 	B
316	Luckily, I arrived in time. 	B
317	I think you should walk with a friend, otherwise it could be boring. 	B
318	It would be quite a formal meeting. 	B
319	I live rather a long way from work, about 10 km. 	B
320	 After all, he is almost a human. 	B
321	You can eat very well and pay almost nothing. 	B
322	This is the most crowded place in my town and you can buy absolutely anything you like. 	B
323	Today, thanks to the Internet, I can work at home almost all the time, which is far more relaxing and less boring. 	B
324	There are probably very few of us who have never been to a zoo. 	B
325	The attitude of young people today towards keeping fit and healthy has almost completely changed.  	C
326	Moreover, making use of some techniques I practised in the How to Negotiate classes is something which happens to me quite frequently. 	C
327	The mobile market is growing incredibly fast in Britain and your company is leading this process. 	C
328	Recently, the charity organised a fun-raising day, which went  reasonably well . 	C
329	My Spanish is slightly more fluent than my English, because I lived in Spain longer than in England. 	C
330	It will be a bit more expensive than the bus but it's safer and quicker. 	C
331	Despite all the controversies between these two generations, the grandchildren shouldn't forget that their grandparents are much more experienced. 	C
332	My home is very light and very comfortable. 	A
333	I have a really good friend, her name is Dylma. 	A
334	In my free time I always listen to music, watch TV, clean my room ... 	A
335	She sometimes goes to the cinema and to the disco. 	A
336	Sometimes I go to the beach. 	A
337	I like writing and speaking but sometimes I like listening. 	A
338	You can bring some music . Maybe we can dance. 	A
339	I really love walking. 	A
340	I really like my kitchen, because it is big. 	A
341	Get well soon. 	A
342	I hope to see you soon. 	A
343	 because I not working also I will wake up late . 	A
344	I have many friends there. 	A
345	I like this place because my parents live there. 	A
346	I'm so glad you are coming. 	A
347	They are quite expensive. 	A
348	The only bad thing is, it was too cold! 	A
349	 However I can study only on Monday, Tuesday and Wednesday, because I am working in the restaurant. 	A
350	Perhaps I left it in your living room. 	A
351	Just wait right at the door, I will be there. 	A
352	I bought it because it is very pretty, but it wasn't expensive, I only spent thirty pounds! 	A
353	We also eat rice every day. 	A
354	Yes, I have finally bought a mobile phone. 	A
355	We can also go to the meeting on Saturday evening. 	A
356	Nick, I would really like to help with the concert. 	A
357	Please answer me quickly because there are only eleven tickets. 	A
358	My house is opposite the train station so you can find it easily. 	A
359	I miss you a lot. 	A
360	I am looking forward to seeing you so much! 	A
361	It's very nice that you're going to help me to paint my bedroom. Actually I want you to decide what colour that my room should be. 	A
362	Unfortunately, my team lost. 	A
363	First, I bought one pair of shoes that cost €50 and then I bought a dress that cost me €75. 	A
364	Never have I seen such a realistic and impressive film before. 	B
365	Never had I thought that my parents would do this to me. 	B
366	Hardly had he reached his front door when he heard the phone ringing. 	C
367	Hardly had she finished her complaints when Bob stood up, paid and left. 	C
368	Hardly had they arrived when they saw a sleek, black car leaving the house's yard. 	C
369	In all actuality Piggy himself theoretically has all the necessary character traits and skills at his disposal that would ensure he would be an effective leader. 	C
370	"For the houses opposite the cargo area we strongly support the idea of a ""green"" wall, as it was mentioned in the report of the town council but surprisingly seems to have been forgotten afterwards. "	C
371	I hope you will be fine very soon. 	A
372	I like my job very much. 	A
373	I love it so much. 	A
374	I don't eat it very often, usually on Saturday. 	A
375	I really need it right now because I'm waiting for a call from a department store. 	A
376	 I usually run twice a week and I like them because they weigh only 120 grams, and I can run very fast. 	A
377	I hope to fix the problem very quickly. 	A
378	We get along quite well. 	B
379	It will be really big and at first you will feel lonely, but there are so many people, you can find new friends really fast. 	B
380	My style is almost always the same: light blue jeans, with a shirt and my old brown boots. 	B
381	The pizza is just too good. 	B
382	 It came out just yesterday. 	B
383	Obviously, you can get to work by car quicker and more comfortably than by bicycle. 	B
384	Furthermore, you have to repair your car much more often than your bicycle - so it's quite probable that you are going to spend plenty of time in the garage. 	B
385	The computer system is such a quick system that we can search and analyse information much more quickly than before. 	B
386	"If we could get 2 million euros to invest in the new product ""Stop 'n' run"", profits will rise even more sharply than they did last year. "	B
387	Even the beautiful, attractive cover and the extra Audio CD aren’t enough to justify the slightly higher price, especially because the value of this game will drop extremely rapidly. 	C
388	Firstly, we should get some TV airtime, to catch the attention of a large number of people effectively and achieve a substantial market penetration relatively quickly. 	C
389	Surprisingly enough, Meal's management was very responsive. 	C
390	Sadly enough, I wasn't able to find any job proposals for us myself, so I'll just have to speculate on the results of your work. 	C
391	Luckily enough, we have a garden where we can cook over an open fire, and as the temperatures in June are rather enjoyable here in Sweden, it actually works. 	C
392	Luckily for you, I kept notes on everything we did, so I proudly present to you the top 4 of our course-days. 	C
393	"Unfortunately for some of them, the ""holiday of their dreams"" turned out to be rather nightmarish. "	C
394	Especially in the period of 1999-2001, it shot up from 5 points to 7 points. 	C
395	Probably in the next ten or more years, the engineering profession will be as much respected as it used to be twenty years ago. 	C
396	Many politicians and owners of big enterprises have been able for a long time to work almost exclusively for their own interests. 	C
397	It was so completely in harmony with the sun, the sea, the sand, the summer, I decided instantly that was the kind of thing I would like to keep and collect. 	C
398	I like her because she is like me. 	A
399	"When you get to the station, you'll take ""The Funiculaire."" It's like a little train. "	A
400	I wish our schools could become better than they are. 	B
401	He is almost 60 years old, but he's faster than you can imagine. 	B
402	The price of the delivery company we are now using is a little bit higher than we expected. 	B
403	The floor is dark but the walls are white, so the room seems to be bigger than it is really. 	B
404	Well, If I were you I would go to a small school in the countryside because it's less complicated than going to a large school in a town. 	B
405	But if they refuse, you should go with your friends, because it will be more interesting than spending your holiday with parents. 	B
406	Going away with friends will be more fun than sitting at home, so you should go with them. 	B
407	When I come back from the hospital, I will try to cover the work as much as I can. 	B
408	The weather is the best, it is not as cold as I expected, it is just perfect. 	B
409	Now I've bought a computer and I'm not watching T.V. as often as I did. 	B
410	I really don't like trousers as much as you do. 	B
411	Use the stairs rather than the lift, the bike rather than the tube and whenever you've got enough time, try running around the neighbourhood in the morning before going to work. 	B
412	Well, to me, it's better going to a large school, rather than a small one. 	B
413	Eat healthy foods rather than fatty foods. 	B
414	It's the best place that I have ever seen. 	B
415	Well, the best decision that I've ever made was the decision to go to France for a year. 	B
416	I think that's why this was the best decision I've ever made. 	B
417	First of all, I think you are too young to go on holiday by yourself. 	B
418	He always told me that he was too busy to write a letter to me. 	B
419	I wasn't the only one in my class, there were many others at the same level as me. 	B
420	In my opinion it's better to be with people who are the same age as you. 	B
421	You like the same things as your friends. 	B
422	When I read your letter, it reminded me of a problem I had  and which was almost the same as yours. 	B
423	I was so tired that I didn't have the strength to stand up and ask him for a photograph. 	B
424	I was so nervous that when the teacher talked to me, I shouted to answer him! 	B
425	I was excited and I felt as if I was a bird. 	B
426	So when you enter the restaurant you feel as if you are in Italy. 	B
427	I think I will have to buy an umbrella because it looks as if it'll rain. 	B
428	I got your letter last Friday, and it looks as if you've got a problem. 	B
429	I enjoyed it a lot because as it was built many years ago. I felt as though I was in the year 1830! 	B
430	Some people have told me that I look like a pop star when I wear it. 	B
431	First he heard a disconcerting noise that sounded like a gun shot and then he saw a man running away holding a gun. 	B
432	It smelled like roses. 	B
433	Everything seemed tiny and small from above and I felt like a bird. 	B
434	Your story is similar to my last dream. 	B
435	The weather is sunny and hot, it's similar to Valencia's weather. 	B
436	It is much easier to be single than to have a partner. 	B
437	Due to the provisions and considerations of the contract which was never revised, I think that arbitration is more appropriate than to file an action in court against the tenant. 	B
438	It performs better than expected and attracts many new customers, especially during the week. 	B
439	It was probably the best comedy that anyone could ever have made; however, to the ones who were in the cinema, it didn't seem like a comedy but a horror film. 	B
440	In my opinion this is the worst thing that can ever happen. 	B
441	That is the clearest thing I can remember. 	B
442	We have developed a new micro processor which is the fastest and smallest that exists at the moment. 	B
443	In my opinion young people at that age are not mature enough to decide by themselves what they want for their future. 	B
444	I think I am responsible enough to handle this job. 	B
445	Maybe I'll do the same thing as you did. 	B
446	She was the same as I remembered her, long-haired and green-eyed. 	B
447	Some people say that friendship today is not the same as it used to be. 	B
448	If you prefer watching TV rather than reading, you have to be critical: you mustn't in any way accept everything, every image that passes in front of your eyes. 	B
449	I would say that we are keen on walking in the mountains rather than going on a shopping trip to Edinburgh. 	B
450	So, at night they are mostly tired and it's much easier to sit down in front of the television set rather than take a book and read it. 	B
451	I would prefer to sleep in tents rather than stay in rooms. 	B
452	Her heart beat extremely fast, as if it was going to burst out of her chest. 	B
453	I saw my mate crawling on the floor as if he was looking for something. 	B
454	Everything was so familiar, so close, as though he had never left the place. 	B
455	I'm sorry to say that she is not the best of cooks but she tries the best she can. 	C
456	On Thursday I did the best I could. 	C
457	However, to make sure that we offer the best we can, we would be grateful if you gave us a grant. 	C
458	Travellers should not be so ignorant as to think they can understand other nationalities better when they have once lived in one of their hotels. 	C
459	However, as soon as my glaring eyes met his, beseeching and helpless, I knew I couldn't endure being so cruel as to deny him my caring shoulder... 	C
460	Should I be so fortunate as to win the scholarship, I would use it in a way that would not only affect me, but very much so also the area in which I live. 	C
461	She closed her eyes as if to push those thoughts away. 	C
462	There it was: the chef's body, hacked to pieces, a carving knife in his hand as if to scare off an enemy. 	C
463	I was so frightened that my heart was beating like crazy as if trying to leave my body. 	C
464	Because of this, my mother never denied us anything, as if trying to compensate for our father's death. 	C
465	I like my college and I like my class. 	A
466	On Sunday I visit my friends, but I often stay at home and I read books. 	A
467	I like English lessons but I don't like physics. 	A
468	I watch television, I read magazines or I sleep. 	A
469	She likes to listen to music and watch TV. 	A
470	After break we go to the class and play some games or study. 	A
471	Sometimes I go to the park with my friend and play tennis and football. 	A
472	I can clean or cook for you. 	A
473	Your house is near to mine so turn down the 5th street and then go straight almost all the way. When you see the purple street turn there, then go to the left to the Red street, that is my street, my house is 17. 	A
474	You start at your house, go straight ahead, then turn right. 	A
475	By the time his mother arrived home, the suitcase was still lost, so Larry decided to tell her the truth, but then his mother showed him his suitcase and told Larry that he left it in the car. 	B
476	If you want to go somewhere with your friends then do it and promise your parents that you will go with them the next holidays, or arrange a family day with them, because then your parents will know that you love them and that they are still very important to you. 	B
477	Regarding your future plans, we would like to know which city you are going to move to, so that if we get the chance, we can either visit you or write to you. 	B
478	In my opinion, you should either ask your parents if you can invite a few friends, or ask them to share your holidays. 	B
479	You can either go to the gym or attend some special classes where you get gentle exercises. 	B
480	"I thought: ""Either I talk to her now or I won't be able to talk to her anytime! "	B
481	You will have a great time with your friends, because I know they are going to the seaside and staying in a hotel near the sea. 	B
482	They chose our school because it's very modern and there are a lot of students. 	B
483	Otherwise, if you want to relax and see your friend, the countryside will be the best. 	B
484	You asked for my advice about either going on holiday with your parents or staying with your friends. 	B
485	We neither walk nor do exercises. 	B
486	They neither got married nor had children. 	B
487	We should neither eat too much, nor eat too. 	B
488	The atmosphere was friendly, not only because it wasn't too crowded, but also because the waiters always help you. 	B
489	I really like it; not only because it is nice and colourful  but because I spent most of my childhood summers there. 	B
490	And not only did they come for the most popular sports, such as football and basketball, but many other less known activities were very well attended. 	C
491	Not only was he helpful but the students had the opportunity to watch videos and listen to music. 	C
